date,open,high,low,close
2015-01-02,99.3207,100.2693,98.4668,99.4146
2015-01-05,99.3707,101.2815,96.1643,98.0497
2015-01-06,97.6528,100.9912,96.9850,100.3053
2015-01-07,99.8115,100.0989,97.5061,97.7877
2015-01-08,96.5127,99.0267,96.0530,98.5573
2015-01-09,98.8133,100.1542,98.4652,99.8027
2015-01-12,100.0821,100.4302,98.6787,99.0231
2015-01-13,99.1099,100.5694,96.5305,97.9733
2015-01-14,97.7574,98.4807,96.6957,97.4164
2015-01-15,97.1597,101.5349,95.2546,99.5823
2015-01-16,99.7939,99.9127,98.9935,99.1116
2015-01-19,98.9744,101.2786,97.7775,100.0684
2015-01-20,100.1379,102.5144,98.5666,100.9307
2015-01-21,101.1332,102.2949,101.1090,102.2705
2015-01-22,102.0166,102.6943,100.2699,100.9404
2015-01-23,100.8929,101.9527,99.3597,100.4145
2015-01-26,99.6573,99.8721,98.9886,99.2024
2015-01-27,98.7306,99.1978,97.4847,97.9482
2015-01-28,98.8309,99.7728,97.5979,98.5370
2015-01-29,98.3070,100.2910,97.0979,99.0726
2015-01-30,99.4671,99.9790,98.8593,99.3707
2015-02-02,98.8347,99.8604,97.9881,99.0123
2015-02-03,99.3038,101.3550,98.1520,100.1928
2015-02-04,100.2214,101.9047,95.9095,97.5478
2015-02-05,97.6397,99.3215,96.0693,97.7493
2015-02-06,98.4438,98.6257,97.1643,97.3442
2015-02-09,97.3194,99.1821,96.9353,98.7922
2015-02-10,100.0957,100.7351,97.4729,98.0995
2015-02-11,99.0434,100.4344,95.0099,96.3632
2015-02-12,96.1573,98.2602,94.9739,97.0657
2015-02-13,97.0328,97.4585,96.4532,96.8782
2015-02-16,96.6105,97.7966,93.8686,95.0354
2015-02-17,94.3247,94.8435,93.0963,93.6111
2015-02-18,94.3828,96.2823,90.9073,92.7744
2015-02-19,93.7349,93.7638,92.7896,92.8181
2015-02-20,93.4107,94.4657,89.8897,90.9166
2015-02-23,91.6536,92.7059,89.2808,90.3178
2015-02-24,89.8818,90.2521,89.6722,90.0422
2015-02-25,89.8113,91.0362,89.5472,90.7693
2015-02-26,91.6858,93.7375,87.5926,89.5976
2015-02-27,89.5978,92.4761,88.9195,91.7813
2015-03-02,91.6665,94.4969,89.8207,92.6316
2015-03-03,92.3678,92.6947,91.8583,92.1846
2015-03-04,91.4160,93.2155,91.0213,92.8147
2015-03-05,93.5596,95.3839,92.8719,94.6878
2015-03-06,95.4823,98.2396,92.1669,94.9077
2015-03-09,94.7629,96.1468,92.9446,94.3220
2015-03-10,94.3933,97.1996,93.4035,96.1909
2015-03-11,96.0419,97.4154,93.7224,95.0822
2015-03-12,95.1007,96.1793,94.9374,96.0144
2015-03-13,97.0660,97.4714,96.1556,96.5590
2015-03-16,96.1483,97.7850,95.4390,97.0689
2015-03-17,96.7496,99.3777,96.0618,98.6762
2015-03-18,97.8058,100.8632,97.3709,100.4167
2015-03-19,99.4312,99.4601,98.9448,98.9735
2015-03-20,98.8157,99.7553,98.7808,99.7201
2015-03-23,100.3627,100.7799,99.6741,100.0902
2015-03-24,100.0265,100.6977,99.2630,99.9336
2015-03-25,100.4464,101.1054,98.3893,99.0390
2015-03-26,99.2011,100.3476,97.9441,99.0894
2015-03-27,98.9383,101.0774,97.7740,99.9017
2015-03-30,100.2027,101.8565,99.0117,100.6600
2015-03-31,100.2615,100.8542,98.9773,99.5660
2015-04-01,98.8076,100.0613,97.9716,99.2219
2015-04-02,100.1739,100.5678,98.5349,98.9239
2015-04-03,98.8527,100.8866,95.5373,97.5443
2015-04-06,97.2399,99.3996,96.9361,99.0901
2015-04-07,98.2343,100.3428,97.6999,99.7998
2015-04-08,100.1075,100.9141,97.9195,98.7149
2015-04-09,97.7627,100.1781,95.7021,98.1101
2015-04-10,98.3851,98.9842,96.7644,97.3572
2015-04-13,97.9080,99.0892,97.0308,98.2093
2015-04-14,97.8407,99.2288,97.3142,98.6976
2015-04-15,98.0993,99.4321,97.3317,98.6601
2015-04-16,98.9130,100.3411,96.0604,97.4675
2015-04-17,97.8578,100.7591,96.3267,99.2069
2015-04-20,98.8757,100.0807,96.2647,97.4523
2015-04-21,97.4682,101.2927,94.6800,98.4757
2015-04-22,97.9408,98.6942,97.7433,98.4956
2015-04-23,97.8972,99.0901,97.5531,98.7430
2015-04-24,98.0454,99.9689,97.8258,99.7455
